user_id,order_id,Date,Amount,Merchant_id,Purchase_status,Merchant_name,Rate_pct,User_id,First_tran_date,Location,Age,Gender,Revenue,Weekday,Type_user
113806,8293310474,2020-12-03,20000.0,13,0,Mobifone,3,113806,2017-07-04,Ho Chi Minh City,28_to_32,Female,600.0,Thursday,Current
119116,7090496333,2020-09-13,20000.0,13,0,Mobifone,3,119116,2019-09-18,Ho Chi Minh City,33_to_37,Male,600.0,Sunday,Current
121072,5303460055,2020-04-10,100000.0,13,1,Mobifone,3,121072,2017-10-26,Other Cities,unknown,Male,3000.0,Friday,Current
139036,6319528906,2020-07-16,100000.0,13,1,Mobifone,3,139036,2019-10-17,Ho Chi Minh City,unknown,Female,3000.0,Thursday,Current
151226,7302011406,2020-09-25,200000.0,13,0,Mobifone,3,151226,2019-07-19,Ho Chi Minh City,>37,Male,6000.0,Friday,Current
153505,4984464322,2020-03-08,20000.0,13,0,Mobifone,3,153505,2020-02-01,Ho Chi Minh City,23_to_27,Male,600.0,Sunday,Current
156886,6405039899,2020-07-23,10000.0,13,0,Mobifone,3,156886,2016-07-30,Ho Chi Minh City,33_to_37,Male,300.0,Thursday,Current
166795,7269783905,2020-09-23,10000.0,14,0,Vinaphone,4,166795,2019-09-18,Ha Noi,18_to_22,Female,400.0,Wednesday,Current
170115,4487534528,2020-01-30,100000.0,13,1,Mobifone,3,170115,2018-05-23,Ho Chi Minh City,unknown,Male,3000.0,Thursday,Current
173311,5707854926,2020-05-23,30000.0,13,0,Mobifone,3,173311,2017-03-01,Ho Chi Minh City,33_to_37,Female,900.0,Saturday,Current
179041,6395550203,2020-07-22,500000.0,12,0,Viettel,2,179041,2016-12-10,Ho Chi Minh City,33_to_37,Female,10000.0,Wednesday,Current
189794,8290650485,2020-12-03,50000.0,12,0,Viettel,2,189794,2020-02-18,Ho Chi Minh City,28_to_32,Male,1000.0,Thursday,Current
202226,4271780529,2020-01-12,294234.0,13,1,Mobifone,3,202226,2018-12-12,Ho Chi Minh City,33_to_37,Female,8827.02,Sunday,Current
209608,6770228885,2020-08-20,10000.0,14,0,Vinaphone,4,209608,2018-01-04,Other Cities,33_to_37,Female,400.0,Thursday,Current
274427,8361938544,2020-12-08,30000.0,13,0,Mobifone,3,274427,2016-02-14,Other Cities,28_to_32,Male,900.0,Tuesday,Current
278798,7464891487,2020-10-07,50000.0,15,0,Vietnamobile,4,278798,2019-09-08,Ho Chi Minh City,>37,Male,2000.0,Wednesday,Current
278826,6554864168,2020-08-03,100000.0,12,1,Viettel,2,278826,2020-06-14,Other Cities,unknown,Male,2000.0,Monday,Current
281218,5440346862,2020-04-25,50000.0,13,1,Mobifone,3,281218,2019-01-02,Other Cities,23_to_27,Female,1500.0,Saturday,Current
284558,6299778792,2020-07-14,100000.0,12,0,Viettel,2,284558,2019-09-29,Other Cities,33_to_37,Male,2000.0,Tuesday,Current
285885,7067490997,2020-09-11,10000.0,14,0,Vinaphone,4,285885,2017-08-13,Ho Chi Minh City,33_to_37,Female,400.0,Friday,Current
292770,5589930577,2020-05-11,100000.0,12,0,Viettel,2,292770,2016-12-09,Ho Chi Minh City,unknown,Female,2000.0,Monday,Current
320079,5889976559,2020-06-11,10000.0,13,0,Mobifone,3,320079,2018-08-12,Ho Chi Minh City,>37,Female,300.0,Thursday,Current
323304,5931520670,2020-06-14,50000.0,13,1,Mobifone,3,323304,2019-10-23,Other Cities,33_to_37,Female,1500.0,Sunday,Current
332743,7346539112,2020-09-28,100000.0,12,0,Viettel,2,332743,2019-05-26,Ho Chi Minh City,>37,Male,2000.0,Monday,Current
349659,6373267598,2020-07-20,20000.0,15,0,Vietnamobile,4,349659,2020-01-31,Other Cities,>37,Male,800.0,Monday,Current
362538,4935782779,2020-03-03,50000.0,14,0,Vinaphone,4,362538,2019-10-17,Ho Chi Minh City,>37,Male,2000.0,Tuesday,Current
366389,4962831800,2020-03-05,50000.0,15,0,Vietnamobile,4,366389,2018-09-21,Other Cities,>37,Male,2000.0,Thursday,Current
